name,role,level,type,belonging,pool,isPTF,joinDate,notes,weeklyHours,dailyCost,productivityCoeff
Mario Rossi,BE,SENIOR,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,false,2020-03-15,,40,350,1.0
Anna Bianchi,FE,MID,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,false,2021-06-01,,40,300,1.0
Luca Verdi,ANALISTA,SENIOR,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,false,2019-01-10,,40,380,1.0
Giulia Neri,PM,SENIOR,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,false,2018-09-01,,40,400,1.0
Paolo Gialli,BE,JUNIOR,ESTERNA,BU_DOCUMENTALE,MANUTENZIONE,false,2024-01-15,,40,200,0.8
Sara Blu,FE,MID,INTERNA,BU_DOCUMENTALE,MANUTENZIONE,false,2022-03-01,,40,300,1.0
Marco Viola,TECH_LEAD,SENIOR,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,false,2017-05-20,,40,420,1.1
Elena Arancio,BA_SENIOR,SENIOR,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,false,2019-11-01,,40,380,1.0
Davide Marrone,BE,MID,ESTERNA,ENGINEERING_EXCELLENCE,MANUTENZIONE,false,2023-06-01,,40,280,0.9
Chiara Rosa,ANALISTA,MID,INTERNA,BU_DOCUMENTALE,EVOLUTIVA_ADEGUATIVA,true,2022-01-10,,32,300,1.0
